更新时间: 2026-04-10 09:10:49（北京时间）

更新时间,#genre#
2026-04-10 09:10:49,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
国学频道,http://171.8.84.159:8800/rtp/239.16.20.232:12320$河南电信
环球奇观,http://223.10.214.111:6000/rtp/239.1.1.98:8098$山西电信

卫视频道,#genre#
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
湖南卫视,http://220.176.218.27:9000/rtp/239.252.219.201:5140$江西电信
湖南卫视,http://106.116.240.74:9999/rtp/239.254.200.48:8012$河北省电信
湖南卫视,http://223.10.214.111:6000/rtp/239.1.1.28:8028$山西电信
湖南卫视,http://58.19.32.207:4022/rtp/239.254.96.139:8908$湖北电信
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710$河南电信
浙江卫视,http://220.176.218.27:9000/rtp/239.252.219.210:5140$江西电信
浙江卫视,http://106.116.240.74:9999/rtp/239.254.200.53:8036$河北省电信
浙江卫视,http://223.10.214.111:6000/rtp/239.1.1.38:8038$山西电信
浙江卫视,http://58.19.32.207:4022/rtp/239.254.96.143:8932$湖北电信
江苏卫视,http://171.8.84.159:8800/rtp/239.16.20.74:10740$河南电信
江苏卫视,http://220.176.218.27:9000/rtp/239.252.219.214:5140$江西电信
江苏卫视,http://106.116.240.74:9999/rtp/239.254.200.51:8028$河北省电信
江苏卫视,http://223.10.214.111:6000/rtp/239.1.1.35:8035$山西电信
江苏卫视,http://58.19.32.207:4022/rtp/239.254.96.144:8938$湖北电信
东方卫视,http://171.8.84.159:8800/rtp/239.16.20.73:10730$河南电信
东方卫视,http://220.176.218.27:9000/rtp/239.252.219.229:5140$江西电信
东方卫视,http://106.116.240.74:9999/rtp/239.254.200.52:8032$河北省电信
东方卫视,http://58.19.32.207:4022/rtp/239.254.96.142:8926$湖北电信
深圳卫视,http://171.8.84.159:8800/rtp/239.16.20.77:10770$河南电信
深圳卫视,http://220.176.218.27:9000/rtp/239.252.219.212:5140$江西电信
深圳卫视,http://106.116.240.74:9999/rtp/239.254.200.50:8020$河北省电信
深圳卫视,http://223.10.214.111:6000/rtp/239.1.1.39:8039$山西电信
深圳卫视,http://58.19.32.207:4022/rtp/239.254.96.137:8896$湖北电信
北京卫视,http://171.8.84.159:8800/rtp/239.16.20.76:10760$河南电信
北京卫视,http://220.176.218.27:9000/rtp/239.252.219.206:5140$江西电信
北京卫视,http://106.116.240.74:9999/rtp/239.254.200.47:8024$河北省电信
北京卫视,http://223.10.214.111:6000/rtp/239.1.1.41:8041$山西电信
北京卫视,http://58.19.32.207:4022/rtp/239.254.96.141:8920$湖北电信
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
广东卫视,http://220.176.218.27:9000/rtp/239.252.219.213:5140$江西电信
广东卫视,http://106.116.240.74:9999/rtp/239.254.200.56:8048$河北省电信
广东卫视,http://223.10.214.111:6000/rtp/239.1.1.49:8049$山西电信
广东卫视,http://58.19.32.207:4022/rtp/239.254.96.140:8914$湖北电信
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
广西卫视,http://220.176.218.27:9000/rtp/239.252.219.183:5140$江西电信
广西卫视,http://106.116.240.74:9999/rtp/239.254.200.80:8300$河北省电信
广西卫视,http://223.10.214.111:6000/rtp/239.1.1.40:8040$山西电信
广西卫视,http://58.19.32.207:4022/rtp/239.69.1.191:10788$湖北电信
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
东南卫视,http://220.176.218.27:9000/rtp/239.252.220.82:5140$江西电信
东南卫视,http://106.116.240.74:9999/rtp/239.254.201.13:6291$河北省电信
东南卫视,http://223.10.214.111:6000/rtp/239.1.1.33:8033$山西电信
东南卫视,http://58.19.32.207:4022/rtp/239.69.1.108:10286$湖北电信
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
海南卫视,http://220.176.218.27:9000/rtp/239.252.219.178:5140$江西电信
海南卫视,http://106.116.240.74:9999/rtp/239.254.201.125:6288$河北省电信
海南卫视,http://223.10.214.111:6000/rtp/239.1.1.55:8055$山西电信
海南卫视,http://58.19.32.207:4022/rtp/239.69.1.151:10542$湖北电信
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
河北卫视,http://220.176.218.27:9000/rtp/239.252.220.154:5140$江西电信
河北卫视,http://106.116.240.74:9999/rtp/239.254.200.174:6000$河北省电信
河北卫视,http://223.10.214.111:6000/rtp/239.1.1.48:8048$山西电信
河北卫视,http://58.19.32.207:4022/rtp/239.254.96.113:9616$湖北电信
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
河南卫视,http://220.176.218.27:9000/rtp/239.252.220.189:5140$江西电信
河南卫视,http://106.116.240.74:9999/rtp/239.254.201.16:7174$河北省电信
河南卫视,http://223.10.214.111:6000/rtp/239.1.1.34:8034$山西电信
河南卫视,http://58.19.32.207:4022/rtp/239.69.1.168:10644$湖北电信
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
湖北卫视,http://220.176.218.27:9000/rtp/239.252.219.208:5140$江西电信
湖北卫视,http://106.116.240.74:9999/rtp/239.254.200.164:6000$河北省电信
湖北卫视,http://223.10.214.111:6000/rtp/239.1.1.32:8032$山西电信
湖北卫视,http://58.19.32.207:4022/rtp/239.254.96.115:8664$湖北电信
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
江西卫视,http://220.176.218.27:9000/rtp/239.252.220.63:5140$江西电信
江西卫视,http://106.116.240.74:9999/rtp/239.254.201.12:6290$河北省电信
江西卫视,http://223.10.214.111:6000/rtp/239.1.1.52:8052$山西电信
江西卫视,http://58.19.32.207:4022/rtp/239.69.1.126:10394$湖北电信
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
四川卫视,http://220.176.218.27:9000/rtp/239.252.220.93:5140$江西电信
四川卫视,http://106.116.240.74:9999/rtp/239.254.200.202:6325$河北省电信
四川卫视,http://223.10.214.111:6000/rtp/239.1.1.29:8029$山西电信
四川卫视,http://58.19.32.207:4022/rtp/239.69.1.169:10650$湖北电信
重庆卫视,http://171.8.84.159:8800/rtp/239.16.20.79:10790$河南电信
重庆卫视,http://220.176.218.27:9000/rtp/239.252.220.94:5140$江西电信
重庆卫视,http://106.116.240.74:9999/rtp/239.254.200.203:6323$河北省电信
重庆卫视,http://223.10.214.111:6000/rtp/239.1.1.36:8036$山西电信
重庆卫视,http://58.19.32.207:4022/rtp/239.69.1.149:10530$湖北电信
贵州卫视,http://171.8.84.159:8800/rtp/239.16.20.81:10810$河南电信
贵州卫视,http://220.176.218.27:9000/rtp/239.252.220.190:5140$江西电信
贵州卫视,http://106.116.240.74:9999/rtp/239.254.201.20:6315$河北省电信
贵州卫视,http://223.10.214.111:6000/rtp/239.1.1.43:8043$山西电信
贵州卫视,http://58.19.32.207:4022/rtp/239.69.1.150:10536$湖北电信
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850$河南电信
云南卫视,http://220.176.218.27:9000/rtp/239.252.219.185:5140$江西电信
云南卫视,http://223.10.214.111:6000/rtp/239.1.1.54:8054$山西电信
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
天津卫视,http://220.176.218.27:9000/rtp/239.252.220.61:5140$江西电信
天津卫视,http://106.116.240.74:9999/rtp/239.254.200.54:1234$河北省电信
天津卫视,http://223.10.214.111:6000/rtp/239.1.1.46:8046$山西电信
天津卫视,http://58.19.32.207:4022/rtp/239.69.1.68:10048$湖北电信
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
安徽卫视,http://220.176.218.27:9000/rtp/239.252.220.83:5140$江西电信
安徽卫视,http://106.116.240.74:9999/rtp/239.254.200.163:6000$河北省电信
安徽卫视,http://223.10.214.111:6000/rtp/239.1.1.44:8044$山西电信
安徽卫视,http://58.19.32.207:4022/rtp/239.69.1.70:10060$湖北电信
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
山东卫视,http://220.176.218.27:9000/rtp/239.252.219.228:5140$江西电信
山东卫视,http://106.116.240.74:9999/rtp/239.254.200.55:8052$河北省电信
山东卫视,http://223.10.214.111:6000/rtp/239.1.1.47:8047$山西电信
